,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
212157,138740.0,1.794419804,-0.447531965,0.201877608,1.319398478,-0.891178411,0.044188145,-0.832944407,0.238644594,0.985080031,0.305004293,0.746181487,0.842604711,-0.449988303,0.093123854,0.039084208,0.705859137,-0.903837745,0.706418885,-0.492186792,-0.19907755,0.133125254,0.414147679,0.254878044,-0.038375907,-0.427056769,-0.776881665,0.067358008,-0.024120285,45.0,0
46378,42766.0,-0.549488801,0.931804205,1.638015754,0.787737482,0.333831451,0.637321704,0.432339793,0.305709682,-0.4397273,-0.146571843,0.921772926,1.196765192,0.552615109,-0.060081244,-0.526747377,-0.706403715,0.059726423,-0.215897521,0.896824329,0.194604116,-0.12456691,-0.047629956,-0.10352943,-0.295224281,-0.154794178,-0.44212216,0.423985809,0.190483045,14.45,0
211512,138447.0,-2.03461008,0.903779009,0.919932838,-1.220672227,-1.464153675,1.207561882,-1.652309505,-2.571247986,-0.477860835,0.334728051,-0.024766475,0.744403346,0.429678138,0.043552743,-0.054295741,-0.886555515,-0.237401681,2.405715639,-0.330607254,-1.455539174,2.863315464,-1.037023102,0.149773964,-0.539343758,-0.499466221,-0.330213382,0.144104664,-0.021105644,88.93,0
35464,38129.0,0.890856413,-0.984252339,0.869886317,0.668963502,-1.404564544,-0.122203735,-0.54623322,0.006776223,-0.848479919,0.759942839,1.083346331,1.172332803,0.921563845,-0.160459932,-0.463577083,-1.324984921,-0.275028885,1.795681917,-0.964492672,-0.125550837,-0.059964008,0.060501852,-0.207493465,0.544250982,0.426205388,-0.273934007,0.045310968,0.059007725,189.0,0
2360,1906.0,1.162119414,-0.24259004,0.889958862,0.490380552,-0.389329208,0.988134097,-0.798937405,0.389947288,0.664647739,-0.124794664,0.484520841,1.149477674,0.503725387,-0.316637272,-0.231932891,0.298833152,-0.484478617,0.040913748,0.21465664,-0.073190795,-0.066254467,0.033744435,-0.061260386,-0.799672689,0.281704342,0.38183977,0.031764449,0.005219655,5.99,0
194064,130426.0,2.33890817,-1.495808043,-1.154166708,-1.926449589,-0.803074191,0.424609325,-1.471280997,0.12208793,-1.150593163,1.737740618,-0.394578721,-0.749654721,0.058866045,-0.326096223,-0.594330882,0.118451664,-0.193350027,0.951679428,0.493583967,-0.414942039,-0.180521384,-0.057937515,0.16504192,-0.386232675,-0.165262527,-0.160285037,0.014914412,-0.061219242,6.0,0
94233,64792.0,-4.369837974,-2.566067001,-1.461315315,2.19462721,-1.932369462,1.684061458,3.162093165,-0.106558054,-0.442577327,0.051095073,1.463078367,0.759084504,0.052111042,0.480266676,0.476646934,-0.564599808,0.424680463,-0.515068783,0.64864546,-1.399173789,-0.388664782,0.990308797,0.938752743,-0.141302509,-0.319449989,-0.219043658,0.81891056,-1.743516118,592.85,0
248212,153840.0,-2.724822294,2.242393139,-0.095113527,-0.738397636,0.065043443,-0.19440426,0.647810997,0.337433548,0.774783396,1.158997964,0.337700327,0.440509277,-0.787120664,0.308380287,-0.179701522,-0.715819256,-0.163562885,0.217914027,1.445842564,0.421872227,-0.32645819,-0.6189792,-0.361440826,-0.61272793,0.90537728,-0.658608654,-0.569303516,-0.122323391,16.0,0
42741,41227.0,-9.001351345,6.613283943,-12.42363472,7.519929232,-10.26625464,-2.113207542,-9.984287448,5.541941433,-7.383704535,-13.2151723,6.895181368,-13.27969971,0.755263579,-13.41701227,-0.210774362,-10.92265513,-21.90649322,-8.829819766,1.852466989,-0.645393858,1.7758909,-1.224757612,0.082593541,0.452088727,0.463827333,-0.296928065,0.526505578,-0.450890489,459.07,1
272735,165240.0,2.146021834,-0.679866064,-1.268943455,-0.679993559,-0.564661013,-0.548184342,-0.953776479,-0.044341212,0.064499604,0.068095097,-0.425712491,-0.841649362,0.176589486,-2.115970048,0.435090631,1.670965401,1.364218192,-0.459977979,0.189015051,0.058819636,0.231302418,0.726055648,0.130176376,0.502627655,-0.130883328,-0.111053042,0.026598259,-0.005941384,19.95,0
